丰台,方宝苑 ,2室1厅,86.24平米,西南,简装,有,中,13,2000,成寿寺,1,443,51369,81
丰台,角门东里 ,2室1厅,54.11平米,南 北,简装,无,顶,6,1990,角门,1,306,56552,31
丰台,鑫兆雅园南区 ,2室1厅,74.54平米,西 北,简装,有,中,22,2003,刘家窑,1,446,59834,72
丰台,南木樨园 ,2室1厅,55.63平米,南 北,精装,无,中,6,1986,木樨园,1,328,58961,148
丰台,同馨家园 ,2室1厅,75.63平米,南,简装,无,低,18,2012,青塔,0,383,50642,42
丰台,太平桥东里 ,1室1厅,49.1平米,东,简装,有,高,24,1989,太平桥,1,360,73320,12
丰台,西马金润二区 ,2室1厅,80.3平米,南 北,毛坯,有,低,13,1998,马家堡,1,430,53550,84
丰台,晓月新城 ,1室1厅,55.26平米,东,简装,有,顶,24,2007,卢沟桥,0,245,44336,58
丰台,芳古园一区 ,2室1厅,57.02平米,南 北,简装,无,低,6,1992,方庄,1,398,69801,17
丰台,万泉寺南里 ,1室1厅,51.96平米,南 西 北,简装,无,顶,4,1996,菜户营,0,319,61394,48
丰台,优筑 ,2室1厅,77.09平米,西北,精装,有,低,16,2007,玉泉营,0,480,62265,42
丰台,西府景园 ,3室1厅,119.39平米,南 北,简装,有,中,23,2004,岳各庄,0,660,55282,77
丰台,长安新城二区 ,3室2厅,116.48平米,南 北,简装,有,低,11,2002,青塔,0,690,59238,46
丰台,政馨园三区 ,2室1厅,92.44平米,西,简装,有,高,22,2003,宋家庄,1,455,49222,10
丰台,珠江峰景 ,4室2厅,146.94平米,南,精装,有,顶,21,2006,岳各庄,0,845,57507,42
丰台,望园东里 ,2室2厅,107.63平米,东南,精装,有,中,24,2005,七里庄,1,599,55654,14
丰台,南木樨园 ,2室1厅,57.38平米,南 北,简装,无,中,5,1986,木樨园,1,322,56118,39
丰台,筑梦园 ,2室2厅,110.19平米,南 北,精装,有,高,12,2004,刘家窑,1,730,66250,15
丰台,和义西里三区 ,2室1厅,53.4平米,南 北,精装,无,顶,6,2000,和义,1,249,46630,71
